% Open solar flux
% 27-day means(Bartel Rotation Periods) for 1964-December 2018 (inclusive)
% Kinematically corrected to remove folded flux
% please acknowledge M. Lockwood, University of Reading, UK
% and cite
% M. Lockwood, M. Owens, and A.P. Rouillard (2009)
% Excess Open Solar Magnetic Flux from Satellite Data: II. A survey of kinematic effects
% J. Geophys. Res., 114, A11104, doi: 10.1029/2009JA014450
% and 
% M. Lockwood, M. Owens, and A.P. Rouillard
% Excess Open Solar Magnetic Flux from Satellite Data: I. Analysis of the 3rd Perihelion Ulysses Pass
% J. Geophys. Res., 114, A11103, doi:10.1029/2009JA014449, 2009   

%  decimal year    OSF (10^15 Wb)         B (nT)       |Br| (nT)
   1.9805068e+03   3.2077084e-01   6.4592334e+00   2.8088850e+00
   1.9805805e+03   3.9037859e-01   6.4791958e+00   3.0998252e+00
   1.9806543e+03   3.3123336e-01   7.0223127e+00   2.8786645e+00
   1.9807281e+03   3.5720978e-01   6.5683955e+00   3.1239870e+00
   1.9808019e+03   4.2159529e-01   7.4801262e+00   3.5400631e+00
   1.9808756e+03   4.6268120e-01   7.6636800e+00   3.9665600e+00
   1.9809494e+03   5.5566858e-01   8.8508661e+00   4.4003150e+00
   1.9810232e+03   5.1704543e-01   7.1921725e+00   3.7049521e+00
   1.9810972e+03   5.0776368e-01   7.9926518e+00   3.9301917e+00
   1.9811712e+03   4.7095055e-01   8.5650350e+00   3.9153846e+00
   1.9812451e+03   4.8199054e-01   7.6873720e+00   3.9959044e+00
   1.9813191e+03   4.8338588e-01   7.7360841e+00   3.7766990e+00
   1.9813931e+03   4.3056839e-01   7.8838366e+00   3.4611012e+00
   1.9814671e+03   4.2225369e-01   7.4296238e+00   3.4937304e+00
   1.9815410e+03   4.4496511e-01   7.4860063e+00   3.5600629e+00
   1.9816150e+03   5.0785054e-01   7.8215385e+00   4.0023932e+00
   1.9816890e+03   4.0704238e-01   7.6498339e+00   3.5602990e+00
   1.9817630e+03   5.2939612e-01   8.6988782e+00   4.2746795e+00
   1.9818369e+03   5.5208954e-01   9.0173285e+00   4.4799639e+00
   1.9819109e+03   3.7122707e-01   7.5620102e+00   3.3695060e+00
   1.9819849e+03   3.9814641e-01   7.1176277e+00   3.3469522e+00
   1.9820588e+03   4.4748028e-01   8.1432387e+00   3.6681135e+00
   1.9821328e+03   5.7955522e-01   1.0147573e+01   4.5849515e+00
   1.9822068e+03   5.0860141e-01   7.7855311e+00   3.8732601e+00
   1.9822808e+03   5.1208750e-01   8.7477387e+00   4.2159129e+00
   1.9823547e+03   5.1736064e-01   7.4204545e+00   4.1509740e+00
   1.9824287e+03   5.9089631e-01   7.9708402e+00   4.6917628e+00
   1.9825027e+03   7.1589246e-01   1.0076166e+01   5.7271157e+00
   1.9825767e+03   8.1922577e-01   1.0507880e+01   6.5635870e+00
   1.9826506e+03   5.3124927e-01   8.3132701e+00   4.8644550e+00
   1.9827246e+03             NaN   9.5864407e+00   4.2419492e+00
   1.9827986e+03             NaN   8.4070312e+00   4.4765625e+00
   1.9828725e+03             NaN   8.5402337e+00   4.0317195e+00
   1.9829465e+03             NaN   1.0130053e+01   4.1648506e+00
   1.9830205e+03             NaN   8.0320988e+00   4.1592593e+00
   1.9830945e+03             NaN   7.4393064e+00   4.6213873e+00
   1.9831684e+03   4.9232877e-01   8.7497268e+00   4.4704918e+00
   1.9832424e+03   4.8140068e-01   6.9251185e+00   4.2279621e+00
   1.9833164e+03   4.7996319e-01   7.9842342e+00   4.4427928e+00
   1.9833904e+03   5.7840337e-01   9.3032374e+00   4.7787770e+00
   1.9834643e+03   5.2382226e-01   8.7930894e+00   4.5394309e+00
   1.9835383e+03   4.4235841e-01   8.0000000e+00   3.9402490e+00
   1.9836123e+03   3.0472222e-01   6.8046875e+00   3.1558594e+00
