%% Annual open solar flux values in units of 10^14 Wb
%%            (corrected for kinematic solar wind effects)
%% column 1 - year
%% column 2 - open solar flux from model and geomagnetic activity data
%%            values after 1900 are from geomagnetic activity using the
%%            aa and m indices using the method of Lockwood et al. (2009)
%%            values before 1900 are from the model of Vieira and Solanki (2010)
%% column 3 - open solar flux from near-Earth IMF magnetometer data
%% bad/missing data code = NaN 
%%
%% when using please cite references
%% Lockwood, M., A.P. Rouillard, and I.D. Finch 
%% The rise and fall of open solar flux during the current grand solar maximum, 
%% Ap. J., 700, 937–944, 2009. doi:10.1088/0004-637X/700/2/937
%%
%% Lockwood, M., R. Stamper and M.N. Wild
%% A doubling of the sun's coronal magnetic field during the last 100 years
%% Nature, 399, 437-439, 1999
%%
%% Vieira, L.E.A. and S.K. Solanki
%% Evolution of the solar magnetic flux on time scales of years to millennia
%% Astron & Astrophys, 509(1), A100, 2010. doi: 10.1051/0004-6361/200913276 2010
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% date            OSF                  OSF
%                 from model and       from satellite
%                 geomagnetic data     IMF data  
  1.9625000e+003  2.9529755e+000             NaN
  1.9635000e+003  2.9117024e+000             NaN
  1.9645000e+003  2.4830966e+000             NaN
  1.9655000e+003  2.3116495e+000             NaN
  1.9665000e+003  2.9410104e+000             NaN
  1.9675000e+003  3.4007953e+000  3.6267344e+000
  1.9685000e+003  3.7048188e+000  3.4554178e+000
  1.9695000e+003  3.4488120e+000  3.2048889e+000
  1.9705000e+003  3.4481828e+000             NaN
  1.9715000e+003  3.1287010e+000             NaN
  1.9725000e+003  3.0954189e+000             NaN
  1.9735000e+003  3.6257543e+000             NaN
  1.9745000e+003  3.7733628e+000  4.1628190e+000
  1.9755000e+003  3.0138328e+000  3.3779220e+000
  1.9765000e+003  3.2819980e+000  3.1843570e+000
  1.9775000e+003  3.0229528e+000  3.1677669e+000
  1.9785000e+003  4.2037222e+000  3.5127585e+000
  1.9795000e+003  3.8137502e+000  3.8442842e+000
  1.9805000e+003  3.5072524e+000  3.7232412e+000
  1.9815000e+003  4.6543323e+000  4.6372410e+000
  1.9825000e+003  5.5781025e+000  5.7487642e+000
  1.9835000e+003  3.9656687e+000  4.4189795e+000
  1.9845000e+003  3.8240353e+000  5.0399403e+000
  1.9855000e+003  3.0422939e+000  3.5692801e+000
  1.9865000e+003  2.8305583e+000  3.4728364e+000
  1.9875000e+003  3.0176996e+000  3.3362519e+000
  1.9885000e+003  3.6329532e+000  3.8153834e+000
  1.9895000e+003  4.9705862e+000  4.4857521e+000
  1.9905000e+003  4.4178883e+000  4.1598783e+000
  1.9915000e+003  5.6492417e+000  5.5118770e+000
  1.9925000e+003  4.4567988e+000  4.4466305e+000
  1.9935000e+003  3.5209104e+000  3.7864879e+000
  1.9945000e+003  3.6868805e+000  3.6111635e+000
  1.9955000e+003  2.9898522e+000  2.6673882e+000
  1.9965000e+003  2.3261560e+000  2.7468623e+000
  1.9975000e+003  2.5080173e+000  2.5066429e+000
  1.9985000e+003  3.6622454e+000  3.2404223e+000
  1.9995000e+003  3.6801640e+000  3.1607345e+000
  2.0005000e+003  4.2588052e+000  3.3065886e+000
  2.0015000e+003  3.7106469e+000  3.1161008e+000
  2.0025000e+003  3.9405609e+000  3.8589230e+000
  2.0035000e+003  4.3481578e+000  4.1812062e+000
  2.0045000e+003  3.2162320e+000  3.2358716e+000
  2.0055000e+003  3.2166344e+000  3.0756561e+000
  2.0065000e+003  2.2989212e+000  2.0690567e+000
  2.0075000e+003  1.9630845e+000  1.8072045e+000
  2.0085000e+003  1.5677040e+000  1.8331148e+000
  2.0095000e+003  1.8000000e+000  1.5000000e+000
  2.0105000e+003  1.3000000e+000  1.3000000e+000
